# y+ ()         
# Time          	patch           	min             	max             	average         
0.000           	lowerWall	7.947766482e+01	7.947766489e+01	7.947766486e+01
0.000           	upperWall	7.947766482e+01	7.947766482e+01	7.947766482e+01
0.010           	lowerWall	7.333621519e+01	8.194127950e+01	7.563648554e+01
0.010           	upperWall	7.482956906e+01	7.614474078e+01	7.570523276e+01
0.020           	lowerWall	6.811701291e+01	8.920212343e+01	7.615606439e+01
0.020           	upperWall	7.320645437e+01	7.816132587e+01	7.641286357e+01
0.030           	lowerWall	6.364167132e+01	9.712280408e+01	8.046714534e+01
0.030           	upperWall	7.397388249e+01	8.437696146e+01	8.105957757e+01
0.040           	lowerWall	5.977767846e+01	1.036824282e+02	8.863973147e+01
0.040           	upperWall	7.688389997e+01	9.581631939e+01	8.975465870e+01
0.050           	lowerWall	5.642380983e+01	1.209768272e+02	1.011211196e+02
0.050           	upperWall	8.034615461e+01	1.129955511e+02	1.029546952e+02
0.060           	lowerWall	5.350199306e+01	1.625874337e+02	1.187362743e+02
0.060           	upperWall	8.048607003e+01	1.372245711e+02	1.215132615e+02
0.070           	lowerWall	5.094903757e+01	2.073890450e+02	1.420690383e+02
0.070           	upperWall	8.060784048e+01	1.696394608e+02	1.461804470e+02
